CGPA,AptitudeScore,CommunicationSkills,Internship,Projects,Placement
6.1,64,7,0,1,0
7.6,57,6,1,4,1
5.2,65,3,0,1,0
9.4,92,7,1,2,1
7.6,71,7,0,4,1
6.4,55,4,1,3,0
5.5,42,7,1,0,0
8.1,88,6,1,3,1
8.4,61,6,1,5,1
6.5,62,3,0,0,0
7.8,60,6,0,2,1
6.9,62,7,1,2,0
6.5,49,6,0,2,0
8.2,83,7,1,3,1
5.4,59,3,1,0,0
6.0,64,4,0,1,0
6.0,57,5,1,0,0
7.2,82,9,1,4,1
5.8,51,6,1,1,0
6.9,61,5,1,2,0
6.6,31,4,1,3,0
5.5,38,4,0,0,0
5.0,50,6,0,2,0
6.1,64,7,0,0,0
8.8,92,9,0,3,1
6.7,52,3,0,3,0
5.6,61,7,0,0,0
6.0,55,3,1,2,0
8.8,67,8,0,5,1
6.4,52,5,1,0,0
5.4,48,3,0,1,0
5.7,25,3,1,3,0
6.8,61,3,0,1,0
7.4,56,6,0,4,1
7.0,91,6,0,5,1
6.1,41,7,0,1,0
5.1,60,4,1,0,0
7.5,74,6,0,3,1
6.0,43,7,0,2,0
9.0,90,10,0,3,1
6.2,33,6,1,2,0
9.1,86,6,1,2,1
6.9,49,3,0,3,0
6.4,48,3,1,0,0
8.9,95,8,0,4,1
6.9,73,9,1,5,1
9.0,60,7,1,5,1
8.2,61,6,0,5,1
6.5,58,5,0,2,0
7.6,80,8,1,2,1
7.5,70,7,0,2,1
6.1,35,7,0,0,0
9.4,86,10,1,2,1
5.1,59,4,1,2,0
5.3,33,5,1,3,0
9.4,63,8,0,2,1
8.8,60,9,0,4,1
7.7,70,10,1,3,1
6.2,34,7,0,0,0
7.2,69,6,0,5,1
6.6,47,5,1,3,0
6.6,58,7,0,0,0
5.3,45,4,1,3,0
5.0,65,6,0,2,0
7.8,89,10,1,4,1
7.1,91,10,1,3,1
5.2,61,7,0,1,0
8.2,75,8,0,4,1
5.9,61,6,1,0,0
6.3,60,7,0,2,0
6.6,30,4,0,0,0
5.7,27,7,0,0,0
5.3,53,6,1,2,0
6.4,35,3,1,1,0
6.0,62,6,0,2,0
6.7,26,3,0,3,0
6.6,51,5,1,1,0
7.8,87,10,0,5,1
6.8,43,5,0,0,0
6.1,38,4,0,2,0
6.8,79,9,1,5,1
8.7,85,6,0,4,1
5.3,59,6,1,3,0
9.4,63,7,1,5,1
5.9,47,4,0,2,0
7.9,63,8,1,3,1
6.1,65,3,1,0,0
5.5,43,7,0,1,0
6.8,31,5,0,1,0
6.6,60,7,1,2,0
5.1,27,3,0,0,0
6.4,42,7,0,0,0
6.8,41,7,0,2,0
6.6,45,6,0,2,0
5.6,56,5,1,0,0
5.7,39,4,1,3,0
8.5,68,6,1,3,1
7.3,94,7,1,2,1
6.9,43,4,0,1,0
9.1,55,6,0,4,1
6.2,61,7,0,1,0
6.1,61,4,0,0,0
8.2,91,7,1,3,1
5.6,62,5,0,3,0
5.1,54,7,1,1,0
8.3,80,10,0,3,1
